IL1,IL2,IL3,PFL3
12.568,6.649,30.621,0.98
26.807,29.906,47.823,0.84
13.442,6.665,31.138,0.97
13.892,6.954,31.737,0.97
11.445,7.166,29.829,0.98
12.191,7.231,30.281,0.98
14.169,7.235,31.56,0.96
11.406,7.271,29.825,0.98
12.832,7.378,30.825,0.98
13.379,7.386,31.162,0.97
11.397,7.457,29.796,0.98
13.907,12.247,32.031,0.95
25.827,28.724,46.368,0.85
14.763,7.27,31.889,0.96
11.349,7.374,29.772,0.98
11.419,7.356,29.764,0.98
11.336,7.293,29.754,0.98
11.327,7.142,29.764,0.98
11.304,7.093,29.784,0.98
15.579,7.325,32.991,0.96
12.88,7.473,30.849,0.97
11.23,7.428,29.742,0.98
20.776,23.395,40.043,0.87
20.184,21.48,39.103,0.88
11.239,7.262,29.802,0.98
12.196,7.291,30.347,0.97
11.246,7.232,29.79,0.98
11.576,7.053,30.029,0.98
13.66,7.219,31.29,0.96
12.062,7.517,30.286,0.97
11.337,7.454,29.818,0.98
11.317,7.341,29.717,0.98
14.514,7.373,29.73,0.98
34.888,30.989,47.053,0.84
19.087,7.497,29.785,0.98
19.098,7.268,29.822,0.98
19.016,7.1,29.792,0.98
14.252,7.134,29.782,0.98
11.313,7.109,29.808,0.98
11.249,7.084,29.786,0.98
11.268,7.225,29.762,0.98
11.194,6.992,29.798,0.98
11.248,7.139,29.766,0.98
21.328,23.861,40.564,0.87
19.475,21.289,38.425,0.89
11.879,7.278,30.114,0.97
11.283,7.557,29.766,0.98
11.255,7.386,29.718,0.98
11.198,7.332,29.751,0.98
11.274,7.496,29.758,0.98
11.242,7.225,29.803,0.98
11.881,7.238,30.178,0.98
11.218,7.327,29.854,0.98
23.963,27.086,44.044,0.85
16.246,15.723,34.689,0.92
11.282,6.977,29.816,0.98
12.013,6.898,30.22,0.97
11.241,6.935,29.728,0.98
11.237,6.998,29.728,0.98
11.283,6.961,29.797,0.98
11.255,6.976,29.83,0.98
11.268,7.068,29.789,0.98
11.248,6.893,29.795,0.98
19.634,20.989,38.479,0.88
20.981,23.139,40.315,0.87
11.312,7.036,29.888,0.98
11.236,6.98,29.799,0.98
11.257,7.065,29.763,0.98
11.231,7.001,29.689,0.98
11.258,6.986,29.742,0.98
11.252,7.052,29.666,0.98
11.215,7.165,29.611,0.98
18.029,7.169,29.606,0.98
19.022,7.128,29.604,0.98
34.951,30.987,47.274,0.84
19.068,7.211,29.594,0.98
17.585,7.217,29.579,0.98
11.215,7.157,29.579,0.98
11.233,7.173,29.592,0.98
11.244,7.077,29.564,0.98
11.19,7.044,29.533,0.98
11.192,7.182,29.576,0.98
11.187,7.105,29.558,0.98
11.207,7.069,29.523,0.98
26.303,30.897,47.012,0.84
11.233,7.027,29.537,0.98
11.201,7.015,29.579,0.98
11.181,7.053,29.587,0.98
11.206,7.109,29.603,0.98
11.231,7.137,29.565,0.98
11.247,7.085,29.594,0.98
11.125,7.08,29.574,0.98
11.143,7.152,29.613,0.98
11.217,7.15,29.614,0.98
26.539,30.926,47.138,0.83
11.408,7.739,29.832,0.98
11.123,7.191,29.607,0.98
11.235,7.232,29.651,0.98
11.166,7.132,29.639,0.98
11.137,7.184,29.604,0.98
11.119,7.165,29.606,0.98
11.149,7.204,29.616,0.98
11.181,7.193,29.637,0.98
11.169,7.517,29.58,0.98
26.434,31.143,46.999,0.83
11.303,7.73,29.701,0.98
13.125,7.377,30.843,0.96
11.126,7.294,29.593,0.98
11.153,7.405,29.617,0.98
11.153,7.272,29.641,0.98
11.192,7.132,29.596,0.98
11.168,7.091,29.585,0.98
11.14,7.107,29.575,0.98
11.154,7.078,29.566,0.98
29.055,31.313,47.363,0.83
20.667,7.214,30.544,0.97
19.022,7.18,29.563,0.98
18.993,7.164,29.632,0.98
18.967,7.112,29.556,0.98
14.31,7.033,29.565,0.98
13.752,7.103,31.32,0.97
11.213,7.002,29.558,0.98
11.223,7.01,29.549,0.98
20.633,23.036,39.84,0.87
20.187,21.546,39.099,0.88
12.065,7.051,30.077,0.97
11.299,7.152,29.588,0.98
11.884,7.025,29.957,0.98
11.293,7.119,29.568,0.98
12.036,7.025,30.035,0.97
12.219,6.985,30.123,0.97
12.127,7.037,30.017,0.97
11.333,7.094,29.55,0.98
21.432,23.992,40.64,0.87
18.352,19.649,37.15,0.9
11.314,7.001,29.578,0.98
11.567,6.927,29.701,0.98
11.198,7.044,29.521,0.98
12.704,7.394,30.391,0.97
10.63,7.098,24.582,0.96
2.739,6.776,3.217,0.92
2.794,6.658,3.223,0.91
31.683,34.275,33.982,0.52
6.486,8.979,6.878,0.63
3.56,7.052,3.93,0.87
7.304,6.771,6.972,0.63
5.532,6.848,5.423,0.69
2.84,7.003,3.217,0.91
4.062,6.928,4.323,0.77
5.083,6.797,5.133,0.7
4.058,6.784,4.266,0.77
5.656,6.789,5.63,0.68
17.81,20.242,18.619,0.53
19.58,22.579,20.492,0.54
5.318,6.588,5.916,0.82
17.198,6.862,11.64,0.74
14.252,6.946,5.397,0.81
35.001,30.838,29.882,0.55
17.009,11.593,9.983,0.59
12.809,6.701,3.881,0.81
5.133,6.609,5.319,0.7
4.367,6.549,4.585,0.75
2.699,6.787,3.225,0.91
21.043,24.335,22.068,0.53
17.206,20.166,18.164,0.55
5.795,6.691,5.813,0.68
4.214,6.552,4.441,0.76
6.683,6.571,6.653,0.66
5.233,6.735,5.31,0.71
5.223,6.887,5.274,0.7
4.711,6.855,4.846,0.73
5.321,6.944,5.491,0.69
5.204,6.677,5.26,0.7
26.029,28.594,27.757,0.53
8.214,9.706,8.471,0.6
6.31,6.86,6.309,0.67
5.37,6.743,5.521,0.69
