VL1,VL2,VL3,IL1,IL2,IL3,PFL3
260.9,262.23,265.41,56.785,27.116,17.457,0.9
260.59,262.03,265.29,56.525,27.119,17.478,0.9
260.71,262.22,265.05,55.451,27.129,18.752,0.92
261.53,262.22,265.29,53.852,27.117,18.408,0.91
262.45,261.67,265.69,51.531,27.114,17.412,0.9
262.07,261.4,265.63,51.492,27.103,16.807,0.91
261.85,261.52,265.76,52.882,27.101,16.404,0.91
261.54,261.33,265.56,53.273,27.081,16.381,0.91
261.75,261.44,265.47,53.304,27.079,17.224,0.9
262.2,261.77,265.73,53.335,27.104,17.514,0.9
261.59,262.27,265.35,54.87,27.11,18.532,0.91
261.31,262.26,265.62,54.497,27.094,17.267,0.92
261.29,262.28,265.88,54.389,27.098,16.348,0.91
261.44,262.2,265.55,54.58,27.233,17.88,0.91
262.65,262.51,265.5,53.598,27.106,20.562,0.93
262.5,262.24,266.25,53.345,27.1,17.422,0.9
262.43,262.16,266.39,53.271,27.098,16.839,0.9
262.26,261.65,265.88,54.456,28.548,19.42,0.91
262.2,260.7,265.12,55.577,31.808,23.569,0.95
262.19,261.55,265.47,51.327,27.071,17.316,0.9
261.61,261.85,265.8,52.815,27.089,16.324,0.91
261,262.05,265.67,54.591,27.21,16.619,0.91
260.78,262.23,265.42,56.474,27.113,18.274,0.93
260.54,261.93,265.75,56.284,27.098,16.285,0.91
261.18,261.69,265.49,54.701,27.1,17.337,0.9
262.05,261.67,265.75,53.154,27.101,17.375,0.9
262.31,261.43,265.23,51.487,27.085,18.296,0.89
262.09,261.26,265.2,51.311,27.078,17.895,0.89
261.63,261.03,265.18,51.229,27.072,17.074,0.9
261.28,260.79,264.92,51.341,27.09,17.308,0.93
260.08,259.85,264.49,53.641,29.38,16.487,0.92
259.13,260.19,264.23,56.115,27.073,15.777,0.92
259.28,260.43,264.38,56.135,27.054,15.796,0.92
260.45,261.58,265.43,55.845,27.073,15.886,0.91
261.17,261.99,265.85,54.059,27.078,16.001,0.91
262.26,261.37,265.35,51.233,27.08,18.057,0.89
261.25,260.39,264.38,51.851,27.474,18.906,0.9
260.72,260.18,263.89,51.871,27.062,18.696,0.92
260.62,260.18,264.46,53.878,27.51,18.016,0.92
260.54,260.07,264.57,53.662,27.33,17.009,0.91
260.52,258.77,263.64,59.506,34.356,26.354,0.95
259.46,259.61,263.75,54.339,27.352,17.342,0.91
259.21,260.38,263.99,54.69,27.212,16.934,0.91
258.47,259.82,263.85,54.229,27.04,15.51,0.92
258.53,259.76,263.73,54.486,27.256,16.008,0.92
259.03,259.63,262.92,53.252,27.043,19.749,0.92
259.89,259.57,261.49,53.563,27.057,24.739,0.91
259.67,259.25,263.39,55.477,28.557,20.245,0.92
259.57,259.41,262.7,54.056,27.497,21.392,0.93
258.7,258.39,261.93,54.908,28.795,22.477,0.94
259.27,258.86,263.08,52.075,27.503,18.651,0.92
259.46,259.06,263.13,52.782,27.989,20.125,0.93
258.51,259.9,262.79,54.093,27.038,20.231,0.95
257.81,259.18,263,55.734,29.012,18.047,0.94
257.51,258.89,262.83,57.043,27.638,17.728,0.93
256.95,258.2,262.22,57.129,27.799,18.037,0.93
258.17,258.04,262.7,54.194,27.785,18.012,0.93
257.67,256.92,261.36,55.655,29.495,21.583,0.93
258.02,256.33,261.08,56.756,33.384,26.069,0.95
259.12,258.44,262.81,51.598,27.826,18.569,0.9
259.98,259.87,263.07,44.63,23.265,16.695,0.9
259.76,260.63,263.57,34.176,13.282,9.357,0.75
258.14,260.32,263.2,45.673,14.216,10.384,0.78
256.73,260.4,262.9,47.577,13.879,8.309,0.7
257,259.97,262.27,42.224,13.635,9.442,0.76
258.44,259.85,260.92,33.355,15.671,12.746,0.88
260.19,258.76,260.67,16.811,13.775,10.914,0.77
260.73,258.41,260.61,14.007,13.93,11.058,0.78
260.49,258.54,259.3,13.843,13.804,15.404,0.9
259.2,258.05,258.38,17.048,17.908,17.708,0.93
260.87,259.13,259.32,16.523,14.767,18.237,0.92
261.5,259.29,261.1,16.94,15.298,14.456,0.84
262.05,259.2,261.7,15.149,17.086,12.804,0.81
260.82,259,261.43,17.437,18.948,12.32,0.8
260.76,259.21,261.24,17.572,17.507,12.911,0.82
260.68,259.14,261.02,17.675,17.786,13.204,0.83
260.67,258.82,260.6,16.783,18.902,14.517,0.86
