IL1,IL2,IL3,PF
51.728,27.205,15.966,0.91
54.068,27.053,17.959,0.93
56.889,26.947,15.873,0.91
56.611,26.818,15.728,0.91
56.568,26.82,16.458,0.9
54.756,26.853,17.041,0.89
52.082,26.857,17.923,0.88
51.671,26.869,17.946,0.88
51.528,26.869,16.307,0.89
51.486,26.852,16.706,0.91
53.468,26.874,16.954,0.91
54.664,26.869,15.748,0.9
57.26,27.239,16.57,0.9
56.772,27.048,16.114,0.9
55.084,26.876,15.966,0.9
53.271,26.865,17.811,0.88
51.555,26.862,18.101,0.88
51.495,26.841,17.256,0.89
53.864,27.356,19.206,0.92
53.558,27.124,16.594,0.91
53.36,26.819,15.987,0.9
54.583,26.81,15.952,0.9
55.439,26.807,15.98,0.9
54.544,26.819,16.509,0.9
54.468,26.809,17.078,0.89
53.434,26.8,17.243,0.89
53.07,26.796,17.18,0.89
53.384,26.775,19.059,0.92
53.273,26.76,16.988,0.89
53.232,26.773,16.519,0.9
52.325,26.785,16.729,0.9
52.083,27.025,17.295,0.89
54.883,27.03,17.201,0.89
54.592,26.957,16.145,0.9
55.876,26.777,16.027,0.9
56.214,26.776,16.011,0.9
53.413,26.787,18.446,0.92
53.337,26.776,17.11,0.89
52.524,26.787,17.139,0.89
51.5,26.765,18.156,0.88
51.455,26.77,17.459,0.88
51.408,26.793,16.599,0.89
55.761,26.797,16.083,0.9
57.486,27.355,17.324,0.91
56.844,27.209,16.366,0.9
56.58,27.012,18.182,0.93
53.051,26.697,16.035,0.9
50.749,26.567,17.061,0.88
50.859,26.679,18.541,0.87
50.227,26.596,17.74,0.87
56.578,32.877,24.713,0.94
52.182,26.68,15.627,0.9
55.947,29.701,18.509,0.91
56.063,27.102,18.849,0.93
54.374,26.547,15.475,0.9
52.815,26.54,15.499,0.9
51.388,26.56,16.096,0.89
49.958,26.549,16.668,0.88
50.853,26.559,17.617,0.87
51.905,26.579,16.574,0.89
51.918,26.548,16.512,0.88
51.917,26.47,18.274,0.91
50.903,26.49,15.451,0.9
52.867,26.853,15.439,0.9
52.741,27.883,15.991,0.9
53.473,28.394,17.556,0.91
53.106,27.6,16.977,0.89
52.408,27.784,18.154,0.9
51.521,27.135,16.168,0.9
51.894,27.216,18.861,0.92
50.68,27.278,17.083,0.9
49.659,26.954,16.362,0.9
50.684,27.527,18.609,0.93
