VL1,VL2,VL3,IL1,IL2,IL3,PFL3
127.84,129.78,126.58,18.877,6.671,32.414,0.98
128.68,129.11,126.99,14.436,6.379,32.429,0.98
129.19,129.1,127.03,11.07,6.369,32.464,0.98
128.89,129.17,125.81,17.938,18.615,38.2,0.92
128.44,128.93,126.04,22.173,24.826,42.999,0.89
128.8,130.08,126.94,11.124,6.337,32.467,0.98
129.27,129.83,126.52,11.062,6.32,32.416,0.98
129.41,129.56,126.51,11.041,6.252,32.407,0.98
129.31,129.56,126.81,11.066,6.272,32.452,0.98
129.19,129.95,126.87,11.107,6.395,32.481,0.98
129.42,129.46,126.44,11.045,6.282,32.401,0.98
128.71,129.6,127.18,11.143,6.289,32.464,0.98
129.06,129.77,127.03,11.084,6.319,32.44,0.98
128.16,128.34,125.2,27.832,30.347,48.717,0.86
129.43,129.73,127.14,11.034,6.734,32.435,0.98
129.22,129.01,126.82,11.043,6.567,32.405,0.98
129.27,129.59,126.78,11.073,6.46,32.419,0.98
128.84,129.79,126.51,11.094,6.504,32.407,0.98
128.91,129.65,126.85,11.065,6.485,32.423,0.98
129.15,129.71,126.95,11.086,6.451,32.471,0.98
129.55,129.33,126.42,11.025,6.241,32.421,0.98
129.17,129.62,127.09,11.087,6.348,32.486,0.98
128.27,128.33,126.09,27.568,29.496,48.57,0.85
129.39,129.78,126.52,12.26,9.143,33.336,0.97
128.99,129.6,126.71,11.095,6.297,32.425,0.98
129.12,129.51,126.83,11.093,6.274,32.447,0.98
129.32,129.43,126.88,11.078,6.257,32.503,0.98
129.02,129.77,126.51,11.116,6.371,32.484,0.98
128.34,130.02,127.09,11.204,6.331,32.529,0.98
129.47,129.59,127.18,11.05,6.29,32.503,0.98
129.64,129.96,126.7,11.026,6.362,32.444,0.98
128.56,128.75,126.67,24.776,27.94,45.713,0.87
129.44,129.21,127.3,14.517,13.147,35.256,0.95
129.07,129.73,126.87,11.068,6.385,32.433,0.98
129.15,129.43,127,11.054,6.254,32.42,0.98
129.23,129.19,127.17,11.033,6.203,32.432,0.98
129.17,129.03,127.05,11.054,6.195,32.444,0.98
129.2,129.08,126.63,11.05,6.289,32.405,0.98
128.91,129.44,127.3,11.105,6.309,32.476,0.98
128.94,129.55,127.06,11.097,6.346,32.448,0.98
128.34,128.27,125.78,27.593,28.642,46.191,0.87
128.26,129.85,127.77,20.736,10.586,34.033,0.97
128.44,129.7,127.63,18.847,6.35,32.484,0.98
128.11,129.62,127.2,18.871,6.298,32.478,0.98
127.81,129.68,127.09,18.868,6.293,32.457,0.98
128.52,129.32,127.21,14.49,6.249,32.454,0.98
129.12,128.83,126.7,11.047,6.125,32.408,0.98
129.45,128.79,126.63,11.047,6.093,32.44,0.98
129.03,129,127.2,11.105,6.151,32.466,0.98
127.78,128.05,125.65,26.146,29.674,47.285,0.87
128.62,129.13,126.58,11.148,6.198,32.448,0.98
129.35,129.01,127.26,11.079,6.157,32.503,0.98
129.42,129.24,127.4,11.06,6.234,32.531,0.98
129.62,129.63,127.01,11.061,6.318,32.536,0.98
129.48,129.39,127.01,11.06,6.253,32.488,0.98
129.11,129.24,127.32,11.111,6.241,32.515,0.98
128.36,129.35,126.59,11.18,6.258,32.464,0.98
129.14,129.24,126.8,13.296,10.738,33.976,0.96
128.09,128.28,125.98,25.508,29.113,46.689,0.87
129.25,129.91,126.74,11.112,6.778,32.525,0.98
129.28,129.61,126.29,11.084,6.509,32.484,0.98
129.14,129.76,126.71,11.105,6.502,32.578,0.98
128.13,130.11,126.94,11.244,6.581,32.634,0.98
128.98,129.57,125.95,11.117,6.486,32.51,0.98
128.75,129.02,126.29,11.126,6.326,32.49,0.98
127.84,129.13,126.37,11.231,6.219,32.511,0.98
127.54,128.33,125.39,21.697,23.585,42.135,0.9
127.55,128.52,125.43,18.565,19.451,39.127,0.92
128.06,129.12,126.21,11.202,6.215,32.487,0.98
127.82,129.04,126.14,11.218,6.186,32.471,0.98
128.46,128.82,125.88,11.155,6.186,32.472,0.98
128.36,128.91,125.83,14.824,6.273,35.355,0.98
127.94,128.68,126.16,11.933,6.18,32.998,0.98
128.26,128.7,125.54,11.145,6.17,32.43,0.98
128.2,128.69,125.63,11.161,6.166,32.443,0.98
126.57,127.58,124.75,27.017,29.733,48.324,0.87
127.12,128.61,125.72,11.314,6.167,32.487,0.98
128.21,128.45,125.4,11.193,6.102,32.47,0.98
127.45,128.75,125.76,11.31,6.16,32.542,0.98
127.83,128.86,126.1,12.486,6.192,33.23,0.98
128.01,128.99,125.6,11.266,6.207,32.552,0.98
127.72,128.66,125.5,11.279,6.145,32.514,0.99
127.79,127.95,125.71,12.25,6.235,33.282,0.98
125.49,127.13,124.09,30.482,29.913,51.503,0.87
126.65,128.52,125.29,20.293,6.616,33.19,0.98
125.8,128.49,125.12,22.026,6.618,34.314,0.98
125.99,128.13,125.3,23.508,6.555,35.841,0.98
126.18,127.91,124.85,21.977,6.499,34.652,0.98
127.33,127.72,124.74,14.948,6.475,33.7,0.98
126.67,128.04,124.84,14.645,6.499,35.302,0.98
126.59,126.91,126.4,18.409,18.215,24.02,0.75
127.32,126.98,127.03,26.364,25.322,28.735,0.53
128.62,127.58,127.99,5.374,6.011,4.651,0.57
128.19,127.81,128.76,4.954,6.062,4.647,0.72
127.87,127.73,127.75,12.381,6.251,11.829,0.62
128.17,127.57,127.56,6.678,6.099,5.971,0.63
127.58,127.33,127.28,10.71,6.165,10.432,0.66
126.6,126.51,126.9,23.285,25.76,22.565,0.52
127.9,127.39,127.89,13.66,15.402,13.111,0.53
