IL1,IL2,IL3,PF
10.268,1.309,6.566,0.54
9.181,3.429,10.742,0.53
9.969,1.779,9.631,0.53
10.537,3.681,9.943,0.62
13.416,4.835,10.537,0.74
13.715,4.952,10.858,0.75
11.034,3.659,5.364,0.7
11.383,1.339,5.207,0.55
11.22,4.155,13.02,0.54
11.502,2.547,11.549,0.56
11.21,1.852,5.917,0.55
9.477,3.224,4.398,0.54
11.245,2.209,10.462,0.54
10.695,2.808,11.059,0.54
17.262,9.125,12.656,0.67
22.588,12.501,10.381,0.69
12.808,4.824,11.273,0.59
10.19,1.411,9.637,0.52
10.939,2.537,11.092,0.54
9.886,3.809,11.85,0.54
8.902,2.091,9.084,0.52
11.596,3.199,11.851,0.54
11.53,4.741,11.476,0.64
10.854,3.376,11.805,0.53
11.004,1.368,10.221,0.54
10.262,1.381,9.661,0.53
10.312,1.902,9.973,0.51
10.983,1.317,10.122,0.52
10.399,2.447,9.81,0.52
10.582,0.943,9.401,0.52
21.933,12.697,9.882,0.7
20.141,11.456,12.226,0.69
10.714,3.361,10.188,0.53
10.798,3.139,10.388,0.53
12.388,2.003,12.063,0.54
10.85,1.464,10.595,0.54
11.159,2.287,11.519,0.54
10.015,2.999,9.441,0.52
10.613,3.017,11.808,0.52
10.57,2.943,11.656,0.52
8.698,0.951,8.58,0.51
10.53,3.133,10.875,0.57
10.162,2.606,11.083,0.53
19.226,10.575,11.49,0.67
22.575,12.46,11.636,0.69
13.67,3.913,11.186,0.58
12.303,3.897,14.171,0.55
10.141,2.943,9.65,0.51
11.292,1.63,10.302,0.52
11.273,0.957,10.655,0.52
10.184,1.645,14.964,0.52
10.818,1.968,11.037,0.51
14.081,6.188,12.774,0.59
21.983,12.315,10.525,0.67
15.169,8.159,12.506,0.62
9.892,2.126,10.214,0.48
11.45,1.004,10.693,0.5
10.509,0.997,9.911,0.52
10.84,2.67,11.596,0.54
11.058,1.341,10.785,0.55
10.767,3.378,12.489,0.55
10.739,3.118,12.133,0.54
10.633,4.076,13.358,0.54
16.216,7.559,12.56,0.64
21.661,12.658,10.553,0.69
12.996,4.303,7.26,0.57
10.64,2.266,11.078,0.52
11.55,1.922,10.928,0.54
11.344,2.149,6.354,0.52
11.621,0.947,8.789,0.52
9.911,1.5,5.828,0.5
12.121,2.063,6.596,0.52
11.464,1.895,8.387,0.51
11.486,2.217,6.657,0.52
12.275,1.981,10.117,0.58
11.448,2.056,10.358,0.57
10.614,2.174,10.654,0.49
11.151,1.947,5.2,0.49
21.144,11.359,5.423,0.67
22.817,12.4,10.868,0.68
10.699,2.119,6.391,0.53
11.322,1.041,5.104,0.53
