VL1,VL2,VL3,IL1,IL2,IL3,PFL1
134.66,135.16,134.98,13.734,4.468,15.451,0.87
134.73,135.36,134.64,13.727,4.485,18.291,0.87
134.54,135.1,134.99,13.647,4.45,14.762,0.87
134.39,134.96,134.87,13.584,4.444,14.699,0.87
134.55,135.12,135.03,13.595,4.435,14.796,0.87
134.36,135.06,134.2,13.59,4.474,18.838,0.87
134.19,134.72,134.63,13.496,4.43,14.634,0.88
133.96,134.56,134.43,13.707,4.434,14.889,0.88
134.09,134.69,134.49,13.512,4.424,14.631,0.88
134.08,134.82,133.88,13.56,4.456,18.875,0.88
134.1,134.68,134.53,13.591,4.417,14.655,0.88
134.15,134.72,134.59,13.615,4.419,14.671,0.88
134.22,134.83,134.67,13.643,4.419,14.7,0.88
134.28,135.05,134.17,13.7,4.454,18.477,0.88
134.36,135.05,134.75,14.239,4.424,15.94,0.87
134.39,135,134.87,13.689,4.431,14.716,0.88
134.37,135,134.85,13.708,4.44,14.723,0.88
134.44,135.16,134.53,13.732,4.47,17.53,0.87
134.48,135.15,134.67,13.707,4.46,16.563,0.87
134.45,135.06,134.91,13.661,4.444,15.11,0.87
134.55,135.16,135.04,13.694,4.443,14.982,0.87
134.51,135.18,134.81,13.678,4.459,16.277,0.87
134.58,135.31,134.69,13.676,4.466,17.524,0.87
134.6,135.37,135.18,15.023,4.422,16.408,0.85
134.8,135.43,135.36,13.699,4.421,14.676,0.87
134.67,135.32,135.13,13.686,4.434,15.255,0.87
134.8,135.57,134.77,13.716,4.464,18.411,0.87
134.84,135.46,135.32,13.717,4.43,14.709,0.87
134.74,135.39,135.31,15.661,5.194,15.874,0.87
134.74,135.26,135.34,16.488,6.129,14.724,0.91
134.72,135.49,134.63,15.016,5.236,19.028,0.89
134.8,135.44,135.29,13.749,4.435,14.696,0.87
134.89,135.53,135.39,13.741,4.436,14.712,0.87
134.92,135.54,135.38,13.739,4.436,14.728,0.87
134.85,135.61,134.79,13.703,4.468,18.416,0.86
134.76,135.38,135.12,13.671,4.442,15.306,0.87
134.74,135.35,135.19,13.711,4.439,14.726,0.87
134.83,135.41,135.29,13.717,4.44,14.735,0.87
134.42,135.14,134.7,19.341,9.49,18.55,0.86
133.84,134.83,135.03,25.261,11.806,16.255,0.86
134.53,135.22,135.11,15.126,5.546,14.745,0.87
134.44,135.13,134.97,15.243,4.848,15.998,0.87
134.63,135.3,134.77,13.733,4.481,17.021,0.87
134.52,135.2,134.68,13.657,4.48,16.935,0.87
134.45,135.05,134.9,13.515,4.445,14.729,0.87
134.49,135.08,134.93,13.498,4.422,14.705,0.87
134.62,135.27,134.84,13.533,4.408,16.445,0.87
134.53,135.22,134.61,13.574,4.408,17.324,0.87
134.35,134.96,134.73,14.68,6.295,16.793,0.86
134.42,135.07,134.91,14.141,4.386,15.259,0.87
134.26,134.97,134.62,14.027,4.408,16.144,0.87
134.31,135.07,134.27,13.644,4.44,17.982,0.88
134.19,134.84,134.59,14.37,5.265,15.928,0.86
133.99,134.6,134.38,13.494,4.41,14.571,0.88
134.06,134.74,134.45,14.559,4.865,16.283,0.86
133.98,134.54,133.52,13.515,7.676,20.938,0.88
134.07,134.67,134.48,13.46,4.389,14.549,0.88
134.08,134.56,134.32,13.503,6.743,15.563,0.88
133.86,134.59,134.31,14.723,4.357,16.173,0.86
133.97,134.74,133.73,13.869,4.379,19.232,0.87
133.93,134.54,134.29,13.867,4.336,15.43,0.87
133.37,134.06,133.98,18.893,6.605,17.639,0.91
133.43,134.14,134.11,18.401,6.506,17.305,0.91
133.37,134.42,133.44,16.541,4.386,22.093,0.85
133.27,134.21,133.71,16.642,4.373,19.777,0.85
133.08,133.92,133.67,18.283,5.715,19.139,0.88
132.88,133.65,133.57,19.994,6.995,19.027,0.91
133.11,133.74,133.61,16.098,5.789,16.372,0.9
133.39,133.93,133.73,13.116,4.423,14.887,0.89
133.26,133.78,133.22,13.612,4.428,19.883,0.88
132.95,133.6,132.12,15.889,5.157,28.664,0.89
132.27,132.74,132.65,25.464,13.849,23.414,0.91
132.02,132.99,132.56,28.118,12.209,26.707,0.87
133.07,133.72,131.99,16.883,6.017,32.847,0.9
133.19,133.7,133.42,16.129,7.545,18.798,0.91
132.85,133.52,133.22,17.809,6.677,19.501,0.91
132.53,133.19,132.88,16.188,6.311,17.926,0.9
132.68,133.47,132.59,15.895,5.516,20.304,0.9
132.34,133.08,132.88,16.512,5.465,17.223,0.9
132.92,133.46,133.67,17.98,8.319,13.897,0.88
132.41,133.11,134.04,19.946,12.406,6.586,0.7
132.66,133.46,133.44,16.618,9.416,11.26,0.67
133.21,133.76,133.82,9.42,1.792,8.643,0.53
132.88,133.2,134.04,10.167,3.431,4.209,0.65
132.67,133.17,133.12,10.018,2.931,10.533,0.55
132.26,132.77,132.93,11.745,4.124,9.537,0.69
132.47,132.74,133.7,12.838,5.939,5.723,0.75
131.5,132.92,133.44,16.152,9.081,8.476,0.69
131.22,132.95,134.38,20.253,12.105,5.805,0.71
133.13,134.01,135.07,11.299,4.238,4.55,0.6
133.17,133.84,134.13,9.181,0.668,8.959,0.54
132.33,133.41,134.63,9.26,0.765,3.412,0.55
131.84,133.51,133.92,9.508,0.705,9.102,0.58
132.09,133.48,133.72,9.838,3.189,11.809,0.57
132.31,133.37,134.28,8.81,2.204,7.11,0.56
133.21,133.24,134.3,11.595,3.088,5.697,0.58
