IL1,IL2,IL3,PF
0,22.502,11.055,0.89
0,23.71,10.916,0.9
0,25.308,12.135,0.91
0,22.446,10.858,0.89
0,23.087,10.98,0.9
2.198,16.98,7.375,0.85
0,13.088,0,0.79
0,13.977,3.987,0.81
0,14.142,0,0.82
0,13.79,2.917,0.81
0,14.347,4.667,0.82
0,17.692,12.27,0.87
0,16.214,12.825,0.86
0,16.894,13.289,0.86
1.028,17.579,17.735,0.86
0,17.785,16.31,0.86
1.017,16.125,15.974,0.88
0.928,22.257,21.028,0.91
0,17.867,14.541,0.87
7.632,18.415,19.459,0.85
11.211,31.026,25.264,0.9
12.353,24.55,23.128,0.86
8.483,24.217,21.559,0.88
0,18.003,16.545,0.87
0.862,23.184,19.103,0.91
1.006,16.095,14.088,0.84
1.422,19.793,19.514,0.89
1.05,16.141,14.737,0.84
0,17.011,14.649,0.86
0,16.643,14.422,0.85
0,18.133,14.919,0.87
1.006,19.645,16.695,0.88
0,18.742,18.778,0.88
0,21.319,18.418,0.9
0,21.169,18.028,0.9
0,17.506,15.16,0.87
0,18.482,15.672,0.88
1.017,17.87,17.186,0.87
0,18.243,15.596,0.87
1.061,20.105,20.581,0.89
0.873,15.972,17.41,0.84
0,18.646,17.814,0.87
1.006,18.805,15.826,0.88
2.047,15.546,17.627,0.82
0,16.031,14.224,0.83
0,16.757,18.347,0.85
0,18.002,15.988,0.87
0.984,17.894,18.319,0.87
0,18.79,15.969,0.88
0,20.135,17.068,0.89
0,15.384,13.567,0.82
1.017,16.495,14.026,0.85
0.995,16.151,15.682,0.84
0,17.109,15.285,0.85
0.95,9.829,16.384,0.8
0.94,1.108,16.282,0.68
1.017,7.652,18.388,0.96
0,8.847,15.721,0.97
0.917,10.015,17.28,0.86
0,16.446,15.143,0.86
0.962,9.458,18.763,0.91
1.006,17.237,17.834,0.86
1.699,15.693,16.39,0.83
1.029,17.061,13.794,0.86
1.344,14.54,16.05,0.83
0,7.184,20.03,0.95
0.917,1.445,15.771,0.65
6.886,8.009,18.573,0.76
13.55,18.282,26.634,0.87
11.816,17.313,25.347,0.84
8.132,15.796,22.874,0.87
0,1.374,14.97,0.66
0.984,1.064,17.972,0.69
0,8.264,18.067,0.94
0.973,1.522,16.361,0.67
1.385,16.975,17.561,0.89
0.995,14.24,17.523,0.84
0,1.222,15.825,0.78
0.984,5.983,15.505,0.79
0.917,18.878,16.857,0.89
0,17.108,15.12,0.86
0,11.827,16.165,0.87
0.917,1.956,17.288,0.9
1.006,7.819,19.797,0.94
0,6.548,16.704,0.94
1.017,7.223,20.049,0.95
0,8.114,17.744,0.95
0,5.468,14.229,0.97
0.984,0.999,16.791,0.59
0,5.594,15.514,0.94
0,2.455,16.683,0.92
0,1.862,15.391,0.71
0.984,1.935,16.74,0.82
1.006,7.644,16.739,0.96
0,7.487,15.409,0.96
0.984,3.059,16.771,0.96
0.984,7.211,18.627,0.94
0.984,1.423,16.332,0.62
0,1.749,17.287,0.66
0,5.956,15.288,0.96
0,5.513,16.549,0.93
0,1.452,15.789,0.72
0,11.98,14.374,0.87
0,1.713,15.059,0.75
1.039,2.357,19.905,0.79
0,7.274,15.896,0.95
1.37,1.01,20.106,0.67
0,1.501,17.438,0.71
0.984,8.733,18.96,0.94
0.94,1.469,14.83,0.67
0.94,6.908,17.089,0.94
0.984,1.797,18.407,0.78
1.017,1.429,15.946,0.7
8.28,12.764,20.469,0.81
12.615,16.559,24.451,0.81
13.39,16.221,24.63,0.8
6.508,10.533,18.996,0.84
0.95,5.755,13.572,0.97
0,1.483,12.171,0.7
0,2.066,12.785,0.67
0,8.769,14.705,0.94
1.006,1.444,12.854,0.68
0,1.367,9.925,0.66
0,8.442,13.563,0.94
0,4.786,11.973,0.97
0,0.977,9.145,0.65
1.362,1.079,13.073,0.66
1.376,12.405,18.732,0.93
0,17.285,11.077,0.88
0,17.471,9.464,0.88
0,16.179,6.929,0.86
0,18.12,10.933,0.88
0,17.123,9.561,0.87
1.43,16.383,11.184,0.86
1.36,17.046,12.317,0.87
0.973,20.126,14.672,0.9
1.415,18.431,12.832,0.89
6.846,23.451,17.76,0.9
0,27.216,15.406,0.92
3.983,24.664,15.293,0.91
4.68,25.186,16.109,0.91
3.676,26.496,16.69,0.92
0,26.379,14.951,0.92
3.956,28.394,16.274,0.93
6.933,24.911,17.242,0.91
0,25.443,12.457,0.91
5.562,28.616,16.018,0.93
0,25.584,12.308,0.91
5.707,27.897,15.586,0.93
4.449,29.16,15.503,0.93
6.822,27.139,15.859,0.92
0,26.191,12.566,0.91
0,25.347,12.186,0.91
14.783,31.57,19.856,0.92
18.489,34.746,23.808,0.93
16.988,31.981,19.962,0.92
7.373,29.533,15.098,0.93
0,26.761,12.064,0.92
5.687,24.845,13.984,0.91
8.046,25.166,16.312,0.91
5.947,23.923,13.881,0.9
0,24.969,12.023,0.91
0,26.884,12.855,0.92
0,26.119,12.351,0.92
7.489,26.802,15.883,0.92
3.042,27.258,13.499,0.92
0,23.148,11.067,0.89
3.723,27.46,13.825,0.93
0,24.593,11.673,0.9
0,25.359,12.067,0.91
0,23.673,11.211,0.9
5.883,23.508,13.362,0.9
5.068,23.399,13.1,0.9
9.138,24.852,17.404,0.91
2.899,24.24,12.163,0.9
0,24.328,11.595,0.9
0,23.755,11.363,0.9
0,23.92,10.898,0.9
0,23.343,11.042,0.89
0,24.029,11.435,0.9
0,24.638,11.711,0.91
0,26.861,12.883,0.92
4.701,25.046,13.551,0.91
0,25.88,13.512,0.91
0,23.846,10.961,0.9
3.247,24.285,12.584,0.9
0,23.677,14.056,0.9
0,22.852,12.593,0.9
1.083,17.012,8.088,0.84
0,15.441,0,0.81
0,16.998,5.394,0.84
0,16.998,2.442,0.85
1.105,15.934,4.934,0.82
0,15.837,2.724,0.82
0,17.916,7.012,0.86
0,15.838,3.174,0.82
0,16.17,3.801,0.83
1.902,16.779,5.903,0.84
2.579,18.685,7.53,0.87
0,16.031,3.169,0.83
10.017,22.194,13.208,0.87
13.475,24.259,16.126,0.88
14.831,24.27,17.757,0.88
8.545,20.363,11.07,0.86
0,15.42,0,0.82
0,16.567,0,0.85
0,17.676,6.354,0.86
0,16.064,3.587,0.83
0,15.379,0,0.82
0,15.382,0,0.82
0,18.352,7.542,0.87
2.36,16.033,4.839,0.83
2.347,16.812,3.963,0.85
0,15.39,0,0.82
0,16.466,4.379,0.84
0,15.96,3.186,0.83
2.308,15.527,3.88,0.82
0,15.377,0,0.82
1.206,15.351,6.647,0.82
0,16.534,0,0.85
0,16.67,5.004,0.84
0,15.509,1.573,0.82
0,15.873,3.107,0.83
0,15.341,0,0.82
1.149,15.444,2.084,0.82
